Brazil_ydata;Brazil_fitted;Spain_ydata;Spain_fitted;Germany_ydata;Germany_fitted
1539081.0;1529136.0515929747;246272.0;246275.6854220819;190670;190616.19067723386
1577004.0;1577004.0;246504.0;246504.0;191272;191272.0
1603055.0;1610556.5167347665;246752.0;246870.46402436958;191768;191826.41349891177
1623284.0;1644822.8973780635;247086.0;247237.14887028633;192480;192372.87465939423
1668589.0;1679818.3309323029;247486.0;247604.05338415978;192871;192911.2823286716
1713160.0;1715558.3286712298;247905.0;247971.17641747632;193371;193441.53657162123
1755779.0;1752058.7318582316;248469.0;248338.51681668687;194036;193963.5386396626
1800827.0;1789335.7187914115;248770.0;248706.0734235544;194458;194477.19101092962
1839850.0;1839850.0;248970.0;248970.0;194693;194693.0
1864681.0;1871615.1423761914;249271.0;249412.8070125541;195042;195104.49807834235
1884967.0;1903928.7110687022;249659.0;249789.6746543451;195418;195516.72671752103
1926824.0;1936800.1756034587;250103.0;250100.28169866564;195893;195929.68655299075
1966748.0;1970239.1680999536;250545.0;250344.3775092987;196370;196343.37828540016
2012151.0;2004255.4869549947;250545.0;250521.78246664413;196780;196757.8025719308
2046328.0;2038859.0997356998;250545.0;250632.38824363187;197198;197172.96007227135
2074860.0;2074860.0;251789.0;251789.0;197523;197523.0
2098389.0;2113676.6662336686;252130.0;252292.31228087845;198064;197942.36988105692
2118646.0;2153219.51375662;252513.0;252747.77831464782;198343;198336.90190146834
2159654.0;2193502.128736045;253056.0;253155.09785106056;198699;198706.40710194668
2227514.0;2234538.350620388;253908.0;253514.00744044647;199001;199050.7090770807
2287475.0;2276342.2777398545;253908.0;253824.28079939404;199332;199369.64412295196
2343366.0;2318928.272169522;253908.0;254085.7291031055;199709;199663.06140599036
2394513.0;2394513.0;255953.0;255953.0;199919;199919.0
2419091.0;2434033.3797918744;256619.0;257045.70008420595;200180;200315.6307943579
2442375.0;2474205.950650227;257494.0;258011.8287256633;200456;200712.03431753218
2483191.0;2515041.473821853;258855.0;258849.6550750905;200890;201108.2046222463
2552265.0;2556550.887201102;260255.0;259557.70351582541;201450;201504.1346149676
2610102.0;2598745.3090429027;260255.0;260134.75935396395;202045;201899.81709325613
2662485.0;2641636.0409503584;260255.0;260579.87331475635;202426;202295.2458399559
2707877.0;2707877.0;264836.0;264836.0;202735;202735.0
2733677.0;2745888.8274116297;266194.0;266821.7765934059;203325;203301.21376860424
2750318.0;2784432.9712954815;267551.0;268561.2596034166;203717;203867.15771344013
2801921.0;2823516.851875096;270166.0;270048.37250267726;204276;204432.81629190783
2859073.0;2863147.990172413;272421.0;271277.98217953905;204881;204998.1711160089
2912212.0;2903334.0110079227;272421.0;272245.9372827146;205623;205563.20606063842
2962442.0;2944082.6443374627;272421.0;272949.09892225376;206278;206127.90453337593
3012412.0;3012412.0;278782.0;278782.0;206667;206667.0
3035422.0;3051662.483116251;280610.0;281372.9416356308;207112;207373.95544281654
3057470.0;3091422.660300593;282641.0;283630.0481020745;207707;208080.9666128674
3109630.0;3131699.106976212;285430.0;285543.0566549773;208546;208788.0095057945
3164785.0;3172498.4804189024;288522.0;287103.36112384545;209535;209495.06062498665
3224876.0;3213827.5225931164;288522.0;288304.09603199904;210399;210202.09247809608
3275520.0;3255693.061112121;288522.0;289140.2004328108;211005;210909.08131834288
3317096.0;3317096.0;297054.0;297054.0;211220;211220.0
3340197.0;3351099.145515761;302814.0;302438.208216159;212111;212168.37996537023
