date;Italy;US;Spain;Germany;Korea, South;Brazil;Pakistan;South Africa
2020-01-22;0;1;0;0;1;0;0;0
2020-01-23;0;1;0;0;1;0;0;0
2020-01-24;0;2;0;0;2;0;0;0
2020-01-25;0;2;0;0;2;0;0;0
2020-01-26;0;5;0;0;3;0;0;0
2020-01-27;0;5;0;1;4;0;0;0
2020-01-28;0;5;0;4;4;0;0;0
2020-01-29;0;5;0;4;4;0;0;0
2020-01-30;0;5;0;4;4;0;0;0
2020-01-31;2;7;0;5;11;0;0;0
2020-02-01;2;8;1;8;12;0;0;0
2020-02-02;2;8;1;10;15;0;0;0
2020-02-03;2;11;1;12;15;0;0;0
2020-02-04;2;11;1;12;16;0;0;0
2020-02-05;2;11;1;12;19;0;0;0
2020-02-06;2;11;1;12;23;0;0;0
2020-02-07;3;11;1;13;24;0;0;0
2020-02-08;3;11;1;13;24;0;0;0
2020-02-09;3;11;2;14;25;0;0;0
2020-02-10;3;11;2;14;27;0;0;0
2020-02-11;3;12;2;16;28;0;0;0
2020-02-12;3;12;2;16;28;0;0;0
2020-02-13;3;13;2;16;28;0;0;0
2020-02-14;3;13;2;16;28;0;0;0
2020-02-15;3;13;2;16;28;0;0;0
2020-02-16;3;13;2;16;29;0;0;0
2020-02-17;3;13;2;16;30;0;0;0
2020-02-18;3;13;2;16;31;0;0;0
2020-02-19;3;13;2;16;31;0;0;0
2020-02-20;3;13;2;16;104;0;0;0
2020-02-21;20;15;2;16;204;0;0;0
2020-02-22;62;15;2;16;433;0;0;0
2020-02-23;155;15;2;16;602;0;0;0
2020-02-24;229;15;2;16;833;0;0;0
2020-02-25;322;15;6;17;977;0;2;0
2020-02-26;453;15;13;27;1261;1;2;0
2020-02-27;655;16;15;46;1766;1;2;0
2020-02-28;888;16;32;48;2337;1;4;0
2020-02-29;1128;24;45;79;3150;2;4;0
2020-03-01;1694;30;84;130;3736;2;4;0
2020-03-02;2036;53;120;159;4335;2;5;0
2020-03-03;2502;73;165;196;5186;2;5;0
2020-03-04;3089;104;222;262;5621;4;5;0
2020-03-05;3858;174;259;482;6088;4;6;1
2020-03-06;4636;222;400;670;6593;13;6;1
2020-03-07;5883;337;500;799;7041;13;6;1
2020-03-08;7375;451;673;1040;7314;20;6;3
2020-03-09;9172;519;1073;1176;7478;25;16;3
2020-03-10;10149;711;1695;1457;7513;31;19;7
2020-03-11;12462;1109;2277;1908;7755;38;20;13
2020-03-12;15113;1561;2277;2078;7869;52;28;17
2020-03-13;17660;2157;5232;3675;7979;151;31;24
2020-03-14;21157;2870;6391;4585;8086;151;53;38
2020-03-15;24747;2968;7798;5795;8162;162;136;51
2020-03-16;27980;4360;9942;7272;8236;200;236;62
2020-03-17;31506;6141;11748;9257;8320;321;299;62
2020-03-18;35713;8917;13910;12327;8413;372;454;116
